HOR	0	1
AB	2.471	2.106
ABCBEyCDEFGH	0.082	2.301
ABCDEF	0.823	1.878
ABCDEFGH	314.644	589.439
ABCDEFGO	197.265	53.558
ABCDEFGOGH	1.598	0.635
ABCDEFWO	0.908	0.238
ABCDEFkH	9.229	28.697
ABCDEfGO	7.060	2.669
ABCDEyCDEFGH	1.571	6.799
ABCDEyCDEyEFGH	0.562	8.144
ABCDEyEFGH	12.252	71.729
ABCDEyEFkH	0.950	6.031
ABCFGH	0.278	2.754
ABCH	0.706	2.294
ABCyEDEFGH	0.086	1.078
ABCyEFGH	0.793	7.860
ABCyEyEFGH	0.652	6.291
ABEF	2.879	3.740
ABEFGH	812.076	783.660
ABEFGhCDEFGH	3.858	1.733
ABEFkH	0.737	4.741
ABEyCDEFGH	5.333	5.906
ABEyCDEyEyEFGH	0.073	2.827
ABEyEFGH	1.098	4.775
ABEyEz	1.827	1.750
ABEz	101.693	118.669
ADEFGH	2.515	5.410
ADEFGO	0.564	0.084
AFGH	11.071	8.584
AFGO	0.986	0.282
AH	0.368	1.968
AfGH	13.670	6.634
AyEFGH	10.394	7.118
AyEz	0.754	7.148
HOR	0	1
AB	10.091	9.174
ABCBEyCDEFGH	0.159	6.659
ABCDEF	3.178	6.256
ABCDEFGH	13673.988	75661.393
ABCDEFGO	191735.862	49557.595
ABCDEFGOGH	12.147	4.199
ABCDEFWO	4.590	1.174
ABCDEFkH	27.385	80.948
ABCDEfGO	153.888	36.794
ABCDEyCDEFGH	1.125	14.509
ABCDEyCDEyEFGH	1.889	22.231
ABCDEyEFGH	211.498	708.940
ABCDEyEFkH	3.749	9.795
ABCFGH	0.360	5.394
ABCH	1.123	9.263
ABCyEDEFGH	0.434	6.716
ABCyEFGH	6.289	74.885
ABCyEyEFGH	3.523	44.933
ABEF	7.242	7.497
ABEFGH	104149.089	69132.241
ABEFGhCDEFGH	7.039	3.652
ABEFkH	0.529	9.862
ABEyCDEFGH	5.879	11.606
ABEyCDEyEyEFGH	0.184	12.031
ABEyEFGH	1.519	13.881
ABEyEz	6.344	4.683
ABEz	1335.889	665.352
ADEFGH	2.310	45.147
ADEFGO	2.536	0.176
AFGH	33.871	23.914
AFGO	5.042	1.836
AH	0.249	4.673
AfGH	43.063	20.424
AyEFGH	129.371	84.937
AyEz	1.415	14.962
HOR	0	1	2
AB	2.101	2.110	3.614
ABCBEyCDEFGH	2.259	0.139	0.780
ABCDEF	1.930	0.721	1.245
ABCDEFGH	588.771	350.003	282.490
ABCDEFGO	11.336	3.332	1021.457
ABCDEFGOGH	0.290	0.044	8.296
ABCDEFWO	0.025	0.001	4.838
ABCDEFkH	29.259	10.186	9.249
ABCDEfGO	1.509	1.620	29.949
ABCDEyCDEFGH	6.894	1.816	1.894
ABCDEyCDEyEFGH	8.258	0.680	1.958
ABCDEyEFGH	72.738	13.824	20.402
ABCDEyEFkH	6.201	0.944	1.717
ABCFGH	2.760	0.339	0.811
ABCH	2.278	0.869	0.723
ABCyEDEFGH	1.107	0.021	0.472
ABCyEFGH	7.981	0.738	2.579
ABCyEyEFGH	6.489	0.614	1.559
ABEF	3.846	3.040	2.076
ABEFGH	794.512	919.739	382.580
ABEFGhCDEFGH	1.722	4.471	1.156
ABEFkH	4.711	0.961	1.362
ABEyCDEFGH	5.966	6.074	2.689
ABEyCDEyEyEFGH	2.662	0.379	0.692
ABEyEFGH	4.883	1.171	1.465
ABEyEz	1.799	1.869	1.421
ABEz	119.980	115.710	52.691
ADEFGH	5.680	2.748	1.289
ADEFGO	0.013	0.0	2.691
AFGH	8.782	12.405	4.773
AFGO	0.046	0.002	5.288
AH	2.013	0.347	0.714
AfGH	6.738	15.367	5.182
AyEFGH	7.427	10.832	6.364
AyEz	7.196	0.865	2.127
HOR	0	1	2
AB	9.635	10.357	5.113
ABCBEyCDEFGH	6.596	0.259	4.205
ABCDEF	6.532	2.779	3.858
ABCDEFGH	78121.594	14076.704	40930.538
ABCDEFGO	4912.288	2.017	148295.861
ABCDEFGOGH	0.705	0.028	11.359
ABCDEFWO	0.051	0.000	4.944
ABCDEFkH	78.825	22.730	78.536
ABCDEfGO	4.353	0.652	121.891
ABCDEyCDEFGH	15.031	1.119	6.251
ABCDEyCDEyEFGH	22.698	2.272	12.444
ABCDEyEFGH	723.899	228.530	689.553
ABCDEyEFkH	9.774	3.425	5.866
ABCFGH	5.611	0.502	1.924
ABCH	9.363	1.304	3.622
ABCyEDEFGH	6.999	0.006	2.392
ABCyEFGH	77.299	3.461	30.281
ABCyEyEFGH	45.894	3.402	10.379
ABEF	7.720	7.624	3.613
ABEFGH	67260.380	56867.222	42277.316
